Current Education Level,Stream / Specialization,Latest Grade / CGPA,Technical / Hard Skills,Soft Skills,Personality Type,"Salary Expectation (Annual, in INR)",Certifications Obtained,Preferred Work Environment,Learning Style,Open to Relocating,Willingness to Pursue Higher Studies,Recommended Career Path
M.Tech,AI & ML,9.29,"Computer Vision, TensorFlow, PyTorch, Python","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
M.Tech,Computer Science,9.7,"NLP, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.Com,Commerce,8.06,"Financial Modeling, MS Excel","Attention to Detail, Analytical Skills",Extrovert,8-12 LPA,CFA,I prefer working alone,Read/Write,No,Yes,Financial Analyst
B.Des,Human-Computer Interaction,9.03,"Adobe XD, User Research, Sketch","Empathy, Problem-Solving",Ambivert,8-12 LPA,No Certification,I like a mix of both,Visual,No,No,UI/UX Designer
B.Tech,Computer Science,9.32,"Python, SQL, Java","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I like a mix of both,Visual,Yes,No,Software Developer
B.Tech,Computer Science,8.91,"Python, TensorFlow, R, SQL","Critical Thinking, Problem-Solving",Ambivert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,Data Scientist
MBA,Commerce,8.07,"SQL, Tableau, MS Excel","Analytical Skills, Attention to Detail",Extrovert,4-8 LPA,No Certification,I prefer working alone,Read/Write,No,Yes,Business Analyst
BBA,Business Administration,7.8,"Digital Marketing, SEO, Social Media Management","Creativity, Leadership",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
B.Tech,Computer Science,8.29,"JavaScript, SQL","Teamwork, Problem-Solving",Introvert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,Maybe,No,Data Scientist
B.Tech,Data Science,8.63,"TensorFlow, Scikit-learn","Critical Thinking, Problem-Solving",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.Tech,Computer Science,9.17,"Python, SQL","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I like a mix of both,Visual,Yes,No,Software Developer
Diploma,Mechanical Engineering,7.17,"SolidWorks, MATLAB","Teamwork, Problem-Solving",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Graphic Design,7.66,"User Research, Adobe XD, Sketch, Figma","Empathy, Creativity",Ambivert,12+ LPA,No Certification,I like a mix of both,Visual,No,No,UI/UX Designer
B.A.,Graphic Design,6.56,"Adobe Illustrator, Adobe Photoshop, Figma","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I like a mix of both,Visual,No,No,Graphic Designer
B.Tech,Mechanical Engineering,8.88,"MATLAB, SolidWorks","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Civil Engineer
M.Tech,Computer Science,8.84,"Python, NLP, TensorFlow, Computer Vision","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Human-Computer Interaction,7.76,"User Research, Adobe XD, Figma","Creativity, Problem-Solving",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
M.Tech,AI & ML,9.24,"TensorFlow, NLP","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Des,Graphic Design,8.8,"Adobe Illustrator, Adobe Photoshop","Creativity, Attention to Detail",Introvert,Less than 4 LPA,No Certification,I like a mix of both,Kinesthetic,No,Yes,UI/UX Designer
B.A.,Fine Arts,8.87,"Figma, Adobe Photoshop","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,No Certification,I like a mix of both,Visual,No,No,Graphic Designer
B.Des,Human-Computer Interaction,7.67,"Sketch, Adobe XD","Empathy, Problem-Solving",Ambivert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,No,No,Graphic Designer
MBA,Marketing,7.46,"Google Analytics, SEO, Social Media Management","Creativity, Leadership",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Social Media Manager
MBA,Business Administration,8.61,"Digital Marketing, Google Analytics","Communication, Leadership",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
B.Tech,Computer Science,8.32,"Python, SQL, Java","Problem-Solving, Teamwork",Introvert,12+ LPA,No Certification,I prefer working alone,Kinesthetic,Yes,No,Software Developer
MBA,Commerce,8.51,"Financial Modeling, Tableau, MS Excel","Analytical Skills, Attention to Detail",Extrovert,4-8 LPA,CFA,I prefer working alone,Read/Write,Maybe,No,Financial Analyst
B.Tech,Human-Computer Interaction,7.56,"Adobe XD, Figma","Problem-Solving, Creativity",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
M.Tech,Data Science,8.53,"TensorFlow, Python, Scikit-learn, SQL, R","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.Tech,Computer Science,9.73,"JavaScript, Python, SQL, Java","Problem-Solving, Teamwork",Ambivert,12+ LPA,No Certification,I prefer working alone,Visual,Maybe,No,Software Developer
B.Tech,Mechanical Engineering,8.4,"MATLAB, AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
MBA,Marketing,8.31,"SEO, Google Analytics","Creativity, Communication",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Social Media Manager
M.Tech,AI & ML,9.6,"Python, TensorFlow","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
BBA,Marketing,8.2,"SEO, Google Analytics, Digital Marketing","Creativity, Communication",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
MBA,Finance,7.75,"Tableau, Financial Modeling, SQL","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,CFA,I prefer working alone,Read/Write,Maybe,Yes,Financial Analyst
B.Tech,Computer Science,9.65,"SQL, JavaScript, Python","Teamwork, Problem-Solving",Ambivert,12+ LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Maybe,No,Software Developer
M.Tech,AI & ML,9.33,"TensorFlow, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.A.,Fine Arts,7.05,"Adobe Illustrator, Figma","Creativity, Attention to Detail",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,Yes,Graphic Designer
B.Tech,Mechanical Engineering,7.98,"MATLAB, AutoCAD, SolidWorks","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Computer Science,9.03,"Java, Python, Git, SQL","Problem-Solving, Teamwork",Ambivert,12+ LPA,No Certification,I prefer working alone,Visual,Yes,No,Software Developer
M.Tech,Data Science,8.9,"Scikit-learn, SQL, TensorFlow, Python, R","Critical Thinking, Problem-Solving",Introvert,12+ LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,Data Scientist
M.Tech,Computer Science,9.03,"Computer Vision, Python","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Des,Graphic Design,6.97,"Adobe Illustrator, Adobe Photoshop, Figma","Attention to Detail, Creativity",Introvert,Less than 4 LPA,No Certification,I like a mix of both,Kinesthetic,No,Yes,Graphic Designer
Diploma,Mechanical Engineering,8.7,"SolidWorks, AutoCAD","Problem-Solving, Teamwork",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Computer Science,9.59,"Git, Python, JavaScript","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working alone,Kinesthetic,Yes,No,Data Scientist
B.Com,Commerce,7.75,"SQL, Financial Modeling","Analytical Skills, Attention to Detail",Extrovert,8-12 LPA,No Certification,I prefer working alone,Visual,No,Yes,Financial Analyst
B.Des,Fine Arts,6.78,"Adobe Photoshop, Adobe Illustrator","Creativity, Attention to Detail",Introvert,Less than 4 LPA,No Certification,I like a mix of both,Visual,No,No,Graphic Designer
B.A.,Graphic Design,7.13,"Adobe Illustrator, Figma","Attention to Detail, Creativity",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,No,Graphic Designer
MBA,Business Administration,8.34,"Social Media Management, Google Analytics, Digital Marketing, SEO","Communication, Leadership",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
M.Tech,Computer Science,9.56,"TensorFlow, PyTorch, Python","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Graphic Design,7.7,"Figma, Sketch","Creativity, Problem-Solving",Ambivert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
B.Com,Finance,8.33,"Financial Modeling, SQL","Attention to Detail, Analytical Skills",Extrovert,8-12 LPA,No Certification,I prefer working alone,Read/Write,No,No,Financial Analyst
Diploma,Mechanical Engineering,8.22,"AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Tech,Computer Science,8.83,"SQL, Python, Git","Problem-Solving, Teamwork",Introvert,12+ LPA,No Certification,I prefer working alone,Visual,Yes,No,Software Developer
B.Com,Finance,8.81,"MS Excel, Financial Modeling, Tableau","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,CFA,I prefer working alone,Visual,No,No,Financial Analyst
B.Tech,Mechanical Engineering,8.79,"AutoCAD, SolidWorks, MATLAB","Teamwork, Problem-Solving",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Des,Fine Arts,7.09,"Figma, Adobe Illustrator","Attention to Detail, Creativity",Introvert,Less than 4 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,Yes,Graphic Designer
B.Tech,Graphic Design,8.1,"User Research, Adobe XD","Empathy, Problem-Solving",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
B.Tech,Computer Science,8.77,"Scikit-learn, TensorFlow, SQL","Critical Thinking, Problem-Solving",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Visual,Yes,No,Data Scientist
B.Tech,Mechanical Engineering,8.78,"AutoCAD, SolidWorks, MATLAB","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Civil Engineer
Diploma,Mechanical Engineering,7.31,"AutoCAD, SolidWorks, MATLAB","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Civil Engineer
B.Des,Graphic Design,8.83,"Figma, Adobe Photoshop, Adobe Illustrator","Creativity, Attention to Detail",Introvert,4-8 LPA,No Certification,I like a mix of both,Kinesthetic,No,Yes,UI/UX Designer
B.Des,Fine Arts,8.06,"Adobe Illustrator, Adobe Photoshop, Figma","Creativity, Attention to Detail",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,Yes,Graphic Designer
M.Tech,Computer Science,9.51,"R, TensorFlow","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Tech,Computer Science,9.18,"JavaScript, Java, Python, Git","Teamwork, Problem-Solving",Introvert,12+ LPA,No Certification,I like a mix of both,Visual,Yes,No,Software Developer
B.Tech,Computer Science,8.59,"SQL, Java, Python, JavaScript, Git","Problem-Solving, Teamwork",Ambivert,12+ LPA,No Certification,I prefer working alone,Kinesthetic,Yes,No,Software Developer
MBA,Commerce,7.57,"Financial Modeling, MS Excel","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,No,Yes,Financial Analyst
M.Tech,Computer Science,9.83,"TensorFlow, R, Python, Scikit-learn","Problem-Solving, Critical Thinking",Ambivert,8-12 LPA,Google Data Analytics,I prefer working alone,Visual,Yes,No,AI Specialist
B.Com,Commerce,8.45,"SQL, Tableau","Attention to Detail, Analytical Skills",Extrovert,8-12 LPA,No Certification,I prefer working alone,Read/Write,No,Yes,Financial Analyst
B.Tech,Computer Science,9.55,"TensorFlow, Scikit-learn","Problem-Solving, Critical Thinking",Ambivert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
M.Tech,Computer Science,8.88,"SQL, Scikit-learn, Python","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,No,Data Scientist
B.A.,Fine Arts,7.12,"Adobe Photoshop, Figma, Adobe Illustrator","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,Yes,Graphic Designer
M.Tech,Computer Science,9.73,"Scikit-learn, R","Problem-Solving, Critical Thinking",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
M.Tech,Computer Science,9.62,"TensorFlow, Python, SQL, Scikit-learn, R","Problem-Solving, Critical Thinking",Ambivert,8-12 LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.Com,Finance,8.66,"SQL, MS Excel, Financial Modeling, Tableau","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,No,No,Financial Analyst
MBA,Commerce,8.31,"SQL, MS Excel","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,CFA,I prefer working alone,Read/Write,Maybe,Yes,Financial Analyst
M.Tech,Computer Science,9.38,"SQL, R, TensorFlow","Problem-Solving, Critical Thinking",Ambivert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Des,Graphic Design,7.72,"Adobe Illustrator, Figma, Adobe Photoshop","Creativity, Attention to Detail",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,Yes,Graphic Designer
B.Des,Graphic Design,8.16,"Figma, Adobe Illustrator","Creativity, Attention to Detail",Ambivert,4-8 LPA,No Certification,I like a mix of both,Visual,No,No,Graphic Designer
B.Tech,Human-Computer Interaction,8.71,"User Research, Figma, Adobe XD","Problem-Solving, Creativity",Ambivert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
B.A.,Graphic Design,6.7,"Adobe Photoshop, Adobe Illustrator","Attention to Detail, Creativity",Introvert,Less than 4 LPA,No Certification,I like a mix of both,Visual,No,Yes,Graphic Designer
B.Tech,Mechanical Engineering,8.95,"SolidWorks, AutoCAD","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
MBA,Marketing,7.61,"Social Media Management, SEO, Digital Marketing, Google Analytics","Leadership, Communication",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
B.Des,Human-Computer Interaction,7.86,"Figma, User Research","Empathy, Creativity",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,No,No,UI/UX Designer
M.Tech,AI & ML,9.02,"PyTorch, Python","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Computer Science,9.74,"JavaScript, Git, Java, SQL, Python","Problem-Solving, Teamwork",Introvert,8-12 LPA,Coursera - Python for Everybody,I prefer working alone,Visual,Yes,No,Software Developer
Diploma,Mechanical Engineering,8.22,"AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
M.Tech,AI & ML,9.01,"PyTorch, Python, NLP, Computer Vision, TensorFlow","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Mechanical Engineering,8.28,"AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
MBA,Marketing,7.54,"SEO, Social Media Management","Communication, Creativity",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Social Media Manager
B.Tech,Computer Science,9.78,"SQL, Python, Scikit-learn, R","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.Tech,Computer Science,8.21,"Python, Java","Problem-Solving, Teamwork",Ambivert,12+ LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Maybe,No,Data Scientist
B.Des,Graphic Design,8.0,"Adobe XD, Figma","Problem-Solving, Empathy",Ambivert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
B.Tech,Human-Computer Interaction,8.67,"User Research, Adobe XD, Figma, Sketch","Creativity, Empathy",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
B.Tech,Mechanical Engineering,8.0,"AutoCAD, MATLAB, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Mechanical Engineering,8.96,"AutoCAD, SolidWorks, MATLAB","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.A.,Fine Arts,8.38,"Adobe Photoshop, Figma, Adobe Illustrator","Creativity, Attention to Detail",Introvert,4-8 LPA,No Certification,I prefer working alone,Visual,No,Yes,Graphic Designer
B.Tech,Computer Science,9.0,"TensorFlow, R, SQL, Scikit-learn","Problem-Solving, Critical Thinking",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,Data Scientist
BBA,Business Administration,7.88,"Social Media Management, SEO, Google Analytics","Leadership, Creativity",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
M.Tech,Computer Science,9.24,"NLP, PyTorch, Computer Vision, Python, TensorFlow","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
MBA,Business Administration,7.57,"Google Analytics, Digital Marketing","Communication, Leadership",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
B.Tech,Computer Science,8.85,"Scikit-learn, Python","Critical Thinking, Problem-Solving",Ambivert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,AI Specialist
B.Des,Human-Computer Interaction,8.28,"Figma, User Research, Sketch, Adobe XD","Empathy, Creativity",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
M.Tech,AI & ML,9.52,"Python, NLP, Computer Vision, PyTorch, TensorFlow","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
M.Tech,AI & ML,9.61,"PyTorch, TensorFlow, Python, NLP, Computer Vision","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Mechanical Engineering,8.96,"SolidWorks, MATLAB, AutoCAD","Teamwork, Problem-Solving",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Computer Science,8.59,"Python, Scikit-learn, TensorFlow, SQL","Problem-Solving, Critical Thinking",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Des,Human-Computer Interaction,8.58,"Adobe XD, Sketch, Figma, User Research","Creativity, Empathy",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
M.Tech,Computer Science,9.06,"Python, TensorFlow","Critical Thinking, Problem-Solving",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
MBA,Marketing,8.85,"Social Media Management, Digital Marketing, Google Analytics","Creativity, Leadership",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
MBA,Finance,9.18,"Financial Modeling, Tableau, SQL, MS Excel","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,CFA,I prefer working alone,Read/Write,No,Yes,Financial Analyst
B.Tech,Computer Science,8.82,"SQL, Python, Git","Problem-Solving, Teamwork",Introvert,8-12 LPA,No Certification,I prefer working alone,Kinesthetic,Maybe,No,Software Developer
B.Des,Fine Arts,8.18,"Figma, Adobe Photoshop, Adobe Illustrator","Creativity, Attention to Detail",Ambivert,4-8 LPA,No Certification,I like a mix of both,Visual,No,Yes,UI/UX Designer
B.Des,Graphic Design,7.72,"Adobe XD, User Research, Figma","Creativity, Problem-Solving",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
B.Des,Graphic Design,9.11,"Sketch, Adobe XD, User Research","Empathy, Problem-Solving",Ambivert,8-12 LPA,No Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
BBA,Business Administration,8.16,"SEO, Digital Marketing","Communication, Leadership",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
MBA,Commerce,8.0,"Tableau, SQL","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,No,Yes,Financial Analyst
B.A.,Graphic Design,7.55,"Figma, Adobe Illustrator","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,No Certification,I like a mix of both,Visual,No,No,Graphic Designer
B.A.,Graphic Design,7.34,"Adobe Illustrator, Adobe Photoshop, Figma","Attention to Detail, Creativity",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,Yes,Graphic Designer
M.Tech,Computer Science,9.86,"Computer Vision, PyTorch, Python","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Des,Human-Computer Interaction,9.15,"User Research, Adobe XD","Creativity, Empathy",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,Yes,No,Graphic Designer
MBA,Finance,8.36,"Tableau, Financial Modeling, SQL, MS Excel","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,No,Yes,Financial Analyst
B.Tech,Mechanical Engineering,8.93,"MATLAB, SolidWorks","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
MBA,Finance,8.68,"SQL, Tableau","Analytical Skills, Attention to Detail",Extrovert,8-12 LPA,No Certification,I prefer working alone,Read/Write,Maybe,No,Financial Analyst
B.Des,Fine Arts,7.84,"Figma, Adobe Illustrator, Adobe Photoshop","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,Yes,Graphic Designer
BBA,Marketing,8.82,"Social Media Management, Digital Marketing, SEO","Creativity, Communication",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
B.Tech,Computer Science,9.38,"R, Scikit-learn, Python, SQL","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,Data Scientist
MBA,Marketing,7.58,"Social Media Management, Google Analytics","Communication, Creativity",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.Tech,Computer Science,8.6,"Java, Python, JavaScript, SQL, Git","Teamwork, Problem-Solving",Ambivert,12+ LPA,Coursera - Python for Everybody,I prefer working alone,Visual,Maybe,No,Data Scientist
B.Com,Commerce,7.78,"MS Excel, Tableau, Financial Modeling","Analytical Skills, Attention to Detail",Ambivert,8-12 LPA,CFA,I prefer working alone,Read/Write,No,Yes,Financial Analyst
B.Tech,Computer Science,8.32,"SQL, Python","Teamwork, Problem-Solving",Ambivert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,Data Scientist
B.Tech,Computer Science,9.69,"Python, Java, Git","Teamwork, Problem-Solving",Introvert,12+ LPA,Coursera - Python for Everybody,I like a mix of both,Visual,Maybe,No,Software Developer
B.Tech,Computer Science,8.8,"Git, Python, SQL","Teamwork, Problem-Solving",Introvert,8-12 LPA,No Certification,I like a mix of both,Visual,Maybe,No,Software Developer
B.Tech,Mechanical Engineering,8.04,"AutoCAD, SolidWorks, MATLAB","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
BBA,Business Administration,7.37,"Google Analytics, SEO, Digital Marketing","Leadership, Communication",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
MBA,Marketing,8.85,"Social Media Management, Digital Marketing, SEO","Communication, Leadership",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
B.Com,Finance,8.44,"SQL, MS Excel","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,CFA,I prefer working alone,Read/Write,Maybe,No,Financial Analyst
M.Tech,Data Science,9.65,"SQL, TensorFlow, Python","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,AI Specialist
MBA,Commerce,8.02,"Tableau, SQL, Financial Modeling","Analytical Skills, Attention to Detail",Extrovert,8-12 LPA,CFA,I prefer working alone,Read/Write,No,Yes,Business Analyst
M.Tech,AI & ML,9.33,"Computer Vision, PyTorch, NLP, Python","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
MBA,Business Administration,8.42,"Social Media Management, Digital Marketing","Communication, Leadership",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Social Media Manager
B.Tech,Computer Science,9.31,"TensorFlow, Python","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Visual,Yes,Yes,AI Specialist
B.Tech,Computer Science,9.55,"JavaScript, Git, Python, SQL","Problem-Solving, Teamwork",Ambivert,12+ LPA,No Certification,I prefer working alone,Kinesthetic,Yes,No,Software Developer
B.Tech,Computer Science,8.95,"SQL, Java, Python, Git, JavaScript","Teamwork, Problem-Solving",Introvert,12+ LPA,No Certification,I prefer working alone,Visual,Maybe,No,Software Developer
